label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	16	0.5245901639344263	0.375	0.7	0.855	0.69	0.599	-0.006000000000000005
checkpoint-32	32	1.0491803278688525	0.3775	0.7	0.855	0.685	0.599	-0.006000000000000005
checkpoint-48	48	1.5737704918032787	0.3625	0.705	0.855	0.665	0.59	-0.015000000000000013
checkpoint-64	64	2.098360655737705	0.3775	0.71	0.855	0.705	0.605	0.0
checkpoint-80	80	2.6229508196721314	0.38	0.71	0.86	0.7	0.606	0.0010000000000000009
checkpoint-96	96	3.1475409836065573	0.375	0.71	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-112	112	3.6721311475409837	0.385	0.705	0.845	0.705	0.605	0.0
checkpoint-128	128	4.19672131147541	0.3825	0.705	0.855	0.705	0.606	0.0010000000000000009
checkpoint-144	144	4.721311475409836	0.3775	0.71	0.85	0.715	0.606	0.0010000000000000009
checkpoint-150	150	4.918032786885246	0.38	0.705	0.85	0.7	0.603	-0.0020000000000000018
final	150	4.918032786885246	0.38	0.705	0.85	0.7	0.603	-0.0020000000000000018
