label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.9207814661134163	0.9485
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.8895746887966804	0.9425
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.8571576763485477	0.949
checkpoint-64	checkpoint-64	64	2.098360655737705	0.8311376210235132	0.9583333333333334
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.790594744121715	0.9578333333333334
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.758350622406639	0.9625
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.7014177040110651	0.9668333333333333
checkpoint-128	checkpoint-128	128	4.19672131147541	0.6430670816044259	0.9715
checkpoint-144	checkpoint-144	144	4.721311475409836	0.6234439834024896	0.977
checkpoint-150	checkpoint-150	150	4.918032786885246	0.6195539419087137	0.9825
final	final	150	4.918032786885246	0.6195539419087137	0.9825
