label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	16	0.5245901639344263	0.375	0.69	0.87	0.69	0.6	-0.0050000000000000044
checkpoint-32	32	1.0491803278688525	0.365	0.68	0.865	0.685	0.592	-0.013000000000000012
checkpoint-48	48	1.5737704918032787	0.3525	0.68	0.865	0.69	0.588	-0.017000000000000015
checkpoint-64	64	2.098360655737705	0.3575	0.675	0.86	0.67	0.584	-0.02100000000000002
checkpoint-80	80	2.6229508196721314	0.3425	0.685	0.86	0.68	0.582	-0.02300000000000002
checkpoint-96	96	3.1475409836065573	0.355	0.685	0.84	0.695	0.586	-0.019000000000000017
checkpoint-112	112	3.6721311475409837	0.35	0.675	0.835	0.66	0.574	-0.031000000000000028
checkpoint-128	128	4.19672131147541	0.355	0.68	0.83	0.64	0.572	-0.03300000000000003
checkpoint-144	144	4.721311475409836	0.355	0.69	0.84	0.645	0.577	-0.028000000000000025
checkpoint-150	150	4.918032786885246	0.3575	0.695	0.835	0.665	0.582	-0.02300000000000002
final	150	4.918032786885246	0.3575	0.695	0.835	0.665	0.582	-0.02300000000000002
