label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.9181708160442599	0.9388333333333333	0.375	0.71	0.86	0.7	0.604	-0.0010000000000000009
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.8191044260027662	0.9335	0.3725	0.71	0.86	0.71	0.605	0.0
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.5941735822959889	0.9483333333333334	0.3675	0.71	0.86	0.685	0.598	-0.007000000000000006
checkpoint-64	checkpoint-64	64	2.098360655737705	0.5349066390041494	0.9541666666666667	0.365	0.71	0.87	0.69	0.6	-0.0050000000000000044
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.38336791147994465	0.961	0.3675	0.705	0.86	0.69	0.598	-0.007000000000000006
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.3984958506224066	0.975	0.3625	0.71	0.86	0.695	0.598	-0.007000000000000006
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.4269363762102351	0.9788333333333333	0.36	0.71	0.87	0.7	0.6	-0.0050000000000000044
checkpoint-128	checkpoint-128	128	4.19672131147541	0.4188969571230982	0.9828333333333333	0.3625	0.7	0.865	0.69	0.596	-0.009000000000000008
checkpoint-144	checkpoint-144	144	4.721311475409836	0.3744467496542185	0.9858333333333333	0.3625	0.695	0.865	0.67	0.591	-0.014000000000000012
checkpoint-150	checkpoint-150	150	4.918032786885246	0.37558782849239275	0.9858333333333333	0.3625	0.7	0.86	0.695	0.596	-0.009000000000000008
final	final	150	4.918032786885246	0.37558782849239275	0.9858333333333333	0.3625	0.7	0.86	0.695	0.596	-0.009000000000000008
