label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.5789591977869987	0.9491666666666667	0.38	0.7	0.865	0.69	0.603	-0.0020000000000000018
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.38872752420470263	0.9675	0.3675	0.695	0.86	0.7	0.598	-0.007000000000000006
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.4828665283540802	0.9843333333333334	0.3675	0.695	0.86	0.695	0.597	-0.008000000000000007
checkpoint-64	checkpoint-64	64	2.098360655737705	0.34980982019363766	0.99	0.3675	0.685	0.855	0.7	0.595	-0.010000000000000009
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.4181448824343015	0.994	0.365	0.68	0.865	0.71	0.597	-0.008000000000000007
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.344173582295989	0.996	0.3625	0.685	0.86	0.7	0.594	-0.01100000000000001
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.2991009681881051	0.993	0.34	0.68	0.855	0.685	0.58	-0.025000000000000022
checkpoint-128	checkpoint-128	128	4.19672131147541	0.2644882434301521	1.0	0.335	0.695	0.855	0.705	0.585	-0.020000000000000018
checkpoint-144	checkpoint-144	144	4.721311475409836	0.26218879668049794	0.994	0.35	0.68	0.865	0.67	0.583	-0.02200000000000002
checkpoint-150	checkpoint-150	150	4.918032786885246	0.27100622406639	1.0	0.3475	0.675	0.855	0.67	0.579	-0.026000000000000023
final	final	150	4.918032786885246	0.27100622406639	1.0	0.3475	0.675	0.855	0.67	0.579	-0.026000000000000023
