label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.5473201936376211	0.9311666666666667
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.3497406639004149	0.9591666666666667
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.42800829875518676	0.9823333333333334
checkpoint-64	checkpoint-64	64	2.098360655737705	0.3157503457814661	0.992
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.3514868603042877	0.99
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.324896265560166	0.994
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.2849671507607192	0.988
checkpoint-128	checkpoint-128	128	4.19672131147541	0.2496628630705394	0.994
checkpoint-144	checkpoint-144	144	4.721311475409836	0.23622060857538033	0.992
checkpoint-150	checkpoint-150	150	4.918032786885246	0.26097856154910093	0.995
final	final	150	4.918032786885246	0.26097856154910093	0.995
