label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.9247579529737207	0.9545	0.3775	0.71	0.86	0.71	0.607	0.0020000000000000018
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.9146265560165976	0.9378333333333333	0.385	0.71	0.855	0.705	0.608	0.0030000000000000027
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.8575726141078839	0.924	0.38	0.705	0.86	0.69	0.603	-0.0020000000000000018
checkpoint-64	checkpoint-64	64	2.098360655737705	0.6080048409405256	0.914	0.3775	0.705	0.865	0.695	0.604	-0.0010000000000000009
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.5763658367911481	0.9253333333333333	0.3675	0.715	0.865	0.71	0.605	0.0
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.48447441217150755	0.9023333333333333	0.3775	0.71	0.86	0.685	0.602	-0.0030000000000000027
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.4362724757952974	0.9116666666666667	0.365	0.71	0.87	0.685	0.599	-0.006000000000000005
checkpoint-128	checkpoint-128	128	4.19672131147541	0.37621023513139695	0.9213333333333333	0.375	0.71	0.865	0.675	0.6	-0.0050000000000000044
checkpoint-144	checkpoint-144	144	4.721311475409836	0.3538900414937759	0.92	0.3575	0.7	0.865	0.675	0.591	-0.014000000000000012
checkpoint-150	checkpoint-150	150	4.918032786885246	0.34827109266943296	0.9225	0.3525	0.71	0.87	0.67	0.591	-0.014000000000000012
final	final	150	4.918032786885246	0.34827109266943296	0.9225	0.3525	0.71	0.87	0.67	0.591	-0.014000000000000012
