label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.0	0.0	0.3475	0.725	0.845	0.695	0.592	-0.013000000000000012
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.0	0.0	0.32	0.7	0.8	0.615	0.551	-0.05399999999999994
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.0	0.0	0.265	0.69	0.765	0.635	0.524	-0.08099999999999996
checkpoint-64	checkpoint-64	64	2.098360655737705	0.0	0.0	0.2275	0.695	0.715	0.6	0.493	-0.11199999999999999
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.0	0.0	0.22	0.715	0.705	0.58	0.488	-0.11699999999999999
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.0	0.0	0.21	0.705	0.66	0.565	0.47	-0.135
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.0	0.0	0.2125	0.72	0.605	0.59	0.468	-0.13699999999999996
checkpoint-128	checkpoint-128	128	4.19672131147541	0.0	0.0	0.2175	0.735	0.615	0.575	0.472	-0.133
checkpoint-144	checkpoint-144	144	4.721311475409836	0.0	0.0	0.2075	0.72	0.575	0.57	0.456	-0.14899999999999997
checkpoint-150	checkpoint-150	150	4.918032786885246	0.0	0.0	0.21	0.715	0.585	0.56	0.456	-0.14899999999999997
final	final	150	4.918032786885246	0.0	0.0	0.21	0.715	0.585	0.56	0.456	-0.14899999999999997
