label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	16	0.5245901639344263	0.375	0.705	0.85	0.69	0.599	-0.006000000000000005
checkpoint-32	32	1.0491803278688525	0.365	0.72	0.85	0.705	0.601	-0.0040000000000000036
checkpoint-48	48	1.5737704918032787	0.37	0.715	0.855	0.695	0.601	-0.0040000000000000036
checkpoint-64	64	2.098360655737705	0.38	0.72	0.855	0.7	0.607	0.0020000000000000018
checkpoint-80	80	2.6229508196721314	0.37	0.72	0.855	0.685	0.6	-0.0050000000000000044
checkpoint-96	96	3.1475409836065573	0.3775	0.72	0.855	0.69	0.604	-0.0010000000000000009
checkpoint-112	112	3.6721311475409837	0.3775	0.715	0.85	0.675	0.599	-0.006000000000000005
checkpoint-128	128	4.19672131147541	0.365	0.715	0.85	0.675	0.594	-0.01100000000000001
checkpoint-144	144	4.721311475409836	0.37	0.72	0.855	0.69	0.601	-0.0040000000000000036
checkpoint-150	150	4.918032786885246	0.365	0.715	0.855	0.685	0.597	-0.008000000000000007
final	150	4.918032786885246	0.365	0.715	0.855	0.685	0.597	-0.008000000000000007
