label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.938710235131397	0.9628333333333332
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.9462309820193637	0.958
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.9524550484094052	0.953
checkpoint-64	checkpoint-64	64	2.098360655737705	0.9442427385892116	0.954
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.9212914937759336	0.9595
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.8682918395573997	0.9446666666666668
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.7892202627939142	0.8578666666666667
checkpoint-128	checkpoint-128	128	4.19672131147541	0.0015560165975103733	0.002
checkpoint-144	checkpoint-144	144	4.721311475409836	0.0	0.0
checkpoint-150	checkpoint-150	150	4.918032786885246	0.0	0.0
final	final	150	4.918032786885246	0.0	0.0
