label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.10546334716459198	0.8294666666666667
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.0765905947441217	0.8693333333333333
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.07102351313969571	0.9176666666666666
checkpoint-64	checkpoint-64	64	2.098360655737705	0.06466113416320886	0.9113333333333333
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.04873789764868603	0.9281666666666666
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.05323305670816044	0.959
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.05229944674965421	0.9846666666666666
checkpoint-128	checkpoint-128	128	4.19672131147541	0.05117565698478562	0.997
checkpoint-144	checkpoint-144	144	4.721311475409836	0.04538381742738589	0.996
checkpoint-150	checkpoint-150	150	4.918032786885246	0.043654910096818815	0.998
final	final	150	4.918032786885246	0.043654910096818815	0.998
