label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.8784232365145228	0.9598333333333333	0.375	0.71	0.855	0.7	0.603	-0.0020000000000000018
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.8231327800829875	0.955	0.3675	0.705	0.86	0.695	0.599	-0.006000000000000005
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.8831431535269708	0.9898333333333332	0.3725	0.705	0.865	0.695	0.602	-0.0030000000000000027
checkpoint-64	checkpoint-64	64	2.098360655737705	0.8137275242047027	0.983	0.38	0.71	0.85	0.7	0.604	-0.0010000000000000009
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.8133644536652834	0.994	0.38	0.72	0.855	0.69	0.605	0.0
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.8302040110650069	0.997	0.3775	0.715	0.855	0.7	0.605	0.0
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.8051694329183956	0.997	0.385	0.72	0.865	0.69	0.609	0.0040000000000000036
checkpoint-128	checkpoint-128	128	4.19672131147541	0.7688450899031811	0.998	0.375	0.715	0.85	0.69	0.601	-0.0040000000000000036
checkpoint-144	checkpoint-144	144	4.721311475409836	0.7045643153526971	0.998	0.385	0.72	0.845	0.695	0.606	0.0010000000000000009
checkpoint-150	checkpoint-150	150	4.918032786885246	0.7918568464730291	0.998	0.375	0.72	0.84	0.7	0.602	-0.0030000000000000027
final	final	150	4.918032786885246	0.7918568464730291	0.998	0.375	0.72	0.84	0.7	0.602	-0.0030000000000000027
