label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.9379322268326418	0.9678333333333332
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.9362033195020747	0.971
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.9329183955739971	0.968
checkpoint-64	checkpoint-64	64	2.098360655737705	0.9093188105117564	0.9601666666666667
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.9018845089903181	0.9601666666666667
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.8856327800829875	0.9695
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.8860650069156293	0.9748333333333332
checkpoint-128	checkpoint-128	128	4.19672131147541	0.876210235131397	0.9813333333333333
checkpoint-144	checkpoint-144	144	4.721311475409836	0.8698651452282157	0.9768333333333332
checkpoint-150	checkpoint-150	150	4.918032786885246	0.8748789764868603	0.9848333333333332
final	final	150	4.918032786885246	0.8748789764868603	0.9848333333333332
