label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.9402662517289073	0.9655	0.3725	0.715	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.9439834024896265	0.963	0.3725	0.71	0.855	0.7	0.602	-0.0030000000000000027
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.9422544951590596	0.9623333333333333	0.3775	0.72	0.855	0.7	0.606	0.0010000000000000009
checkpoint-64	checkpoint-64	64	2.098360655737705	0.9406120331950207	0.962	0.38	0.725	0.855	0.705	0.609	0.0040000000000000036
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.9354253112033195	0.973	0.375	0.72	0.85	0.705	0.605	0.0
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.9305843706777317	0.9633333333333333	0.3725	0.72	0.85	0.715	0.606	0.0010000000000000009
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.9225449515905947	0.959	0.3775	0.72	0.85	0.71	0.607	0.0020000000000000018
checkpoint-128	checkpoint-128	128	4.19672131147541	0.9171853388658369	0.9591666666666667	0.3775	0.725	0.85	0.7	0.606	0.0010000000000000009
checkpoint-144	checkpoint-144	144	4.721311475409836	0.8996023513139696	0.9566666666666668	0.37	0.72	0.85	0.705	0.603	-0.0020000000000000018
checkpoint-150	checkpoint-150	150	4.918032786885246	0.9022821576763485	0.957	0.3825	0.73	0.85	0.715	0.612	0.007000000000000006
final	final	150	4.918032786885246	0.9022821576763485	0.957	0.3825	0.73	0.85	0.715	0.612	0.007000000000000006
