label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.7276970954356846	0.9201666666666667
checkpoint-16	checkpoint-16	16	1.032258064516129	0.3329875518672199	0.9663333333333334
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.229253112033195	0.9675
checkpoint-32	checkpoint-32	32	2.064516129032258	0.2074688796680498	0.9795
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.1799792531120332	0.9855
checkpoint-48	checkpoint-48	48	3.096774193548387	0.11618257261410789	0.991
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.10684647302904564	0.99
checkpoint-64	checkpoint-64	64	4.129032258064516	0.11047717842323651	0.989
checkpoint-72	checkpoint-72	72	4.645161290322581	0.11047717842323651	0.993
checkpoint-75	checkpoint-75	75	4.838709677419355	0.10892116182572614	0.996
final	final	75	4.838709677419355	0.10892116182572614	0.996
