label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9118257261410788	0.9575	0.3725	0.715	0.855	0.72	0.607	0.0020000000000000018
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9066390041493776	0.9555	0.375	0.705	0.855	0.705	0.603	-0.0020000000000000018
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8931535269709544	0.9511666666666666	0.3725	0.715	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8796680497925311	0.9431666666666666	0.37	0.715	0.86	0.71	0.605	0.0
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.8609958506224067	0.9381666666666666	0.3875	0.71	0.86	0.705	0.61	0.0050000000000000044
checkpoint-48	checkpoint-48	48	3.096774193548387	0.8495850622406639	0.9325	0.375	0.72	0.85	0.71	0.606	0.0010000000000000009
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.8340248962655602	0.9385	0.3725	0.715	0.86	0.71	0.606	0.0010000000000000009
checkpoint-64	checkpoint-64	64	4.129032258064516	0.8091286307053942	0.941	0.375	0.715	0.855	0.705	0.605	0.0
checkpoint-72	checkpoint-72	72	4.645161290322581	0.7821576763485477	0.9471666666666666	0.3775	0.705	0.85	0.71	0.604	-0.0010000000000000009
checkpoint-75	checkpoint-75	75	4.838709677419355	0.7738589211618258	0.9495	0.3825	0.715	0.86	0.71	0.61	0.0050000000000000044
final	final	75	4.838709677419355	0.7738589211618258	0.9495	0.3825	0.715	0.86	0.71	0.61	0.0050000000000000044
