label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.3675	0.705	0.86	0.695	0.599	-0.006000000000000005
checkpoint-16	16	1.032258064516129	0.37	0.685	0.86	0.68	0.593	-0.01200000000000001
checkpoint-24	24	1.5483870967741935	0.3725	0.695	0.85	0.685	0.595	-0.010000000000000009
checkpoint-32	32	2.064516129032258	0.3775	0.685	0.845	0.69	0.595	-0.010000000000000009
checkpoint-40	40	2.5806451612903225	0.3625	0.69	0.85	0.705	0.594	-0.01100000000000001
checkpoint-48	48	3.096774193548387	0.3575	0.69	0.855	0.705	0.593	-0.01200000000000001
checkpoint-56	56	3.6129032258064515	0.35	0.71	0.855	0.7	0.593	-0.01200000000000001
checkpoint-64	64	4.129032258064516	0.3475	0.7	0.855	0.665	0.583	-0.02200000000000002
checkpoint-72	72	4.645161290322581	0.365	0.705	0.865	0.66	0.592	-0.013000000000000012
checkpoint-75	75	4.838709677419355	0.3675	0.7	0.86	0.685	0.596	-0.009000000000000008
final	75	4.838709677419355	0.3675	0.7	0.86	0.685	0.596	-0.009000000000000008
