label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.3675	0.695	0.86	0.695	0.597	-0.008000000000000007
checkpoint-16	16	1.032258064516129	0.375	0.69	0.86	0.67	0.594	-0.01100000000000001
checkpoint-24	24	1.5483870967741935	0.375	0.69	0.85	0.675	0.593	-0.01200000000000001
checkpoint-32	32	2.064516129032258	0.365	0.685	0.845	0.685	0.589	-0.016000000000000014
checkpoint-40	40	2.5806451612903225	0.3675	0.685	0.855	0.685	0.592	-0.013000000000000012
checkpoint-48	48	3.096774193548387	0.3525	0.69	0.85	0.685	0.586	-0.019000000000000017
checkpoint-56	56	3.6129032258064515	0.3525	0.69	0.85	0.69	0.587	-0.018000000000000016
checkpoint-64	64	4.129032258064516	0.3625	0.695	0.845	0.67	0.587	-0.018000000000000016
checkpoint-72	72	4.645161290322581	0.36	0.69	0.84	0.68	0.586	-0.019000000000000017
checkpoint-75	75	4.838709677419355	0.36	0.695	0.845	0.69	0.59	-0.015000000000000013
final	75	4.838709677419355	0.36	0.695	0.845	0.69	0.59	-0.015000000000000013
