label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.908195020746888	0.9555	0.3775	0.715	0.855	0.705	0.606	0.0010000000000000009
checkpoint-16	checkpoint-16	16	1.032258064516129	0.8884854771784232	0.9418333333333333	0.3825	0.715	0.855	0.71	0.609	0.0040000000000000036
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8324688796680498	0.9306666666666666	0.3775	0.715	0.86	0.715	0.609	0.0040000000000000036
checkpoint-32	checkpoint-32	32	2.064516129032258	0.5025933609958506	0.9195	0.3725	0.71	0.855	0.715	0.605	0.0
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.27282157676348545	0.946	0.3825	0.71	0.86	0.705	0.608	0.0030000000000000027
checkpoint-48	checkpoint-48	48	3.096774193548387	0.2676348547717842	0.959	0.37	0.71	0.86	0.705	0.603	-0.0020000000000000018
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.25570539419087135	0.9616666666666668	0.37	0.71	0.855	0.695	0.6	-0.0050000000000000044
checkpoint-64	checkpoint-64	64	4.129032258064516	0.21628630705394192	0.9638333333333332	0.3675	0.715	0.86	0.69	0.6	-0.0050000000000000044
checkpoint-72	checkpoint-72	72	4.645161290322581	0.1654564315352697	0.9711666666666666	0.3675	0.715	0.855	0.71	0.603	-0.0020000000000000018
checkpoint-75	checkpoint-75	75	4.838709677419355	0.14782157676348548	0.9745	0.37	0.71	0.86	0.71	0.604	-0.0010000000000000009
final	final	75	4.838709677419355	0.14782157676348548	0.9745	0.37	0.71	0.86	0.71	0.604	-0.0010000000000000009
