label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.42064315352697096	0.8985
checkpoint-16	checkpoint-16	16	1.032258064516129	0.23599585062240663	0.9525
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.15612033195020747	0.9685
checkpoint-32	checkpoint-32	32	2.064516129032258	0.12655601659751037	0.9795
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.1270746887966805	0.982
checkpoint-48	checkpoint-48	48	3.096774193548387	0.10632780082987552	0.989
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.08713692946058091	0.985
checkpoint-64	checkpoint-64	64	4.129032258064516	0.09854771784232365	0.991
checkpoint-72	checkpoint-72	72	4.645161290322581	0.06742738589211618	0.994
checkpoint-75	checkpoint-75	75	4.838709677419355	0.06690871369294606	0.992
final	final	75	4.838709677419355	0.06690871369294606	0.992
