label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.2925311203319502	0.8998333333333334
checkpoint-16	checkpoint-16	16	1.032258064516129	0.09854771784232365	0.8148333333333334
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.10580912863070539	0.9096666666666667
checkpoint-32	checkpoint-32	32	2.064516129032258	0.09232365145228216	0.9133333333333333
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.09595435684647304	0.9445
checkpoint-48	checkpoint-48	48	3.096774193548387	0.06950207468879668	0.9465
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.050311203319502076	0.9255
checkpoint-64	checkpoint-64	64	4.129032258064516	0.05446058091286307	0.9605
checkpoint-72	checkpoint-72	72	4.645161290322581	0.037863070539419084	0.97
checkpoint-75	checkpoint-75	75	4.838709677419355	0.03008298755186722	0.976
final	final	75	4.838709677419355	0.03008298755186722	0.976
