label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.40975103734439833	0.8965	0.3725	0.715	0.855	0.695	0.602	-0.0030000000000000027
checkpoint-16	checkpoint-16	16	1.032258064516129	0.18724066390041494	0.9485	0.37	0.705	0.855	0.7	0.6	-0.0050000000000000044
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.12655601659751037	0.9618333333333333	0.365	0.7	0.865	0.69	0.597	-0.008000000000000007
checkpoint-32	checkpoint-32	32	2.064516129032258	0.11099585062240663	0.9685	0.375	0.695	0.87	0.705	0.604	-0.0010000000000000009
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.11099585062240663	0.976	0.375	0.69	0.865	0.7	0.601	-0.0040000000000000036
checkpoint-48	checkpoint-48	48	3.096774193548387	0.09439834024896265	0.988	0.3725	0.695	0.87	0.705	0.603	-0.0020000000000000018
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.0845435684647303	0.98	0.3675	0.7	0.865	0.7	0.6	-0.0050000000000000044
checkpoint-64	checkpoint-64	64	4.129032258064516	0.09491701244813278	0.991	0.36	0.695	0.865	0.705	0.597	-0.008000000000000007
checkpoint-72	checkpoint-72	72	4.645161290322581	0.07365145228215768	0.99	0.3625	0.705	0.86	0.695	0.597	-0.008000000000000007
checkpoint-75	checkpoint-75	75	4.838709677419355	0.0679460580912863	0.992	0.3675	0.705	0.865	0.695	0.6	-0.0050000000000000044
final	final	75	4.838709677419355	0.0679460580912863	0.992	0.3675	0.705	0.865	0.695	0.6	-0.0050000000000000044
