label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9118257261410788	0.9615	0.38	0.715	0.855	0.705	0.607	0.0020000000000000018
checkpoint-16	checkpoint-16	16	1.032258064516129	0.904045643153527	0.9515	0.39	0.71	0.855	0.71	0.611	0.006000000000000005
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8926348547717843	0.9491666666666666	0.3725	0.715	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8718879668049793	0.9391666666666666	0.375	0.71	0.85	0.705	0.603	-0.0020000000000000018
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.8345435684647303	0.9355	0.375	0.71	0.855	0.71	0.605	0.0
checkpoint-48	checkpoint-48	48	3.096774193548387	0.6675311203319502	0.926	0.3675	0.705	0.865	0.705	0.602	-0.0030000000000000027
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.33973029045643155	0.92	0.37	0.71	0.865	0.68	0.599	-0.006000000000000005
checkpoint-64	checkpoint-64	64	4.129032258064516	0.25933609958506226	0.9038333333333334	0.365	0.71	0.865	0.715	0.604	-0.0010000000000000009
checkpoint-72	checkpoint-72	72	4.645161290322581	0.23340248962655602	0.9045	0.3725	0.705	0.865	0.7	0.603	-0.0020000000000000018
checkpoint-75	checkpoint-75	75	4.838709677419355	0.1690871369294606	0.9045	0.3775	0.71	0.865	0.7	0.606	0.0010000000000000009
final	final	75	4.838709677419355	0.1690871369294606	0.9045	0.3775	0.71	0.865	0.7	0.606	0.0010000000000000009
