label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9107883817427386	0.9581666666666666
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9066390041493776	0.9535
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9009336099585062	0.9458333333333333
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8853734439834025	0.9388333333333333
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.858402489626556	0.9316666666666666
checkpoint-48	checkpoint-48	48	3.096774193548387	0.7743775933609959	0.9265
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.5025933609958506	0.9225
checkpoint-64	checkpoint-64	64	4.129032258064516	0.2743775933609959	0.9265
checkpoint-72	checkpoint-72	72	4.645161290322581	0.2676348547717842	0.9401666666666666
checkpoint-75	checkpoint-75	75	4.838709677419355	0.26348547717842324	0.9456666666666667
final	final	75	4.838709677419355	0.26348547717842324	0.9456666666666667
