label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9107883817427386	0.957	0.3825	0.715	0.86	0.705	0.609	0.0040000000000000036
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9128630705394191	0.9586666666666667	0.38	0.71	0.85	0.7	0.604	-0.0010000000000000009
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9279045643153527	0.961	0.3725	0.71	0.85	0.7	0.601	-0.0040000000000000036
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9439834024896265	0.977	0.37	0.71	0.85	0.705	0.601	-0.0040000000000000036
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9393153526970954	0.972	0.38	0.72	0.85	0.7	0.606	0.0010000000000000009
checkpoint-48	checkpoint-48	48	3.096774193548387	0.9284232365145229	0.9676666666666667	0.3725	0.71	0.85	0.7	0.601	-0.0040000000000000036
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9253112033195021	0.9461666666666667	0.37	0.715	0.855	0.7	0.602	-0.0030000000000000027
checkpoint-64	checkpoint-64	64	4.129032258064516	0.9268672199170125	0.9571666666666666	0.37	0.72	0.855	0.7	0.603	-0.0020000000000000018
checkpoint-72	checkpoint-72	72	4.645161290322581	0.9201244813278008	0.9331666666666667	0.36	0.71	0.855	0.695	0.596	-0.009000000000000008
checkpoint-75	checkpoint-75	75	4.838709677419355	0.924792531120332	0.9388333333333333	0.3625	0.72	0.855	0.695	0.599	-0.006000000000000005
final	final	75	4.838709677419355	0.924792531120332	0.9388333333333333	0.3625	0.72	0.855	0.695	0.599	-0.006000000000000005
