label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.904045643153527	0.9533333333333333
checkpoint-16	checkpoint-16	16	1.032258064516129	0.895746887966805	0.9461666666666667
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.6696058091286307	0.9475
checkpoint-32	checkpoint-32	32	2.064516129032258	0.47406639004149376	0.9715
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.20643153526970953	0.982
checkpoint-48	checkpoint-48	48	3.096774193548387	0.18724066390041494	0.976
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.2059128630705394	0.984
checkpoint-64	checkpoint-64	64	4.129032258064516	0.23340248962655602	0.988
checkpoint-72	checkpoint-72	72	4.645161290322581	0.20383817427385892	0.99
checkpoint-75	checkpoint-75	75	4.838709677419355	0.19968879668049794	0.99
final	final	75	4.838709677419355	0.19968879668049794	0.99
