label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9087136929460581	0.9535	0.375	0.715	0.86	0.715	0.608	0.0030000000000000027
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9019709543568465	0.9513333333333333	0.39	0.715	0.85	0.71	0.611	0.006000000000000005
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8843360995850622	0.9733333333333333	0.3775	0.715	0.85	0.705	0.605	0.0
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8324688796680498	0.9795	0.375	0.715	0.86	0.71	0.607	0.0020000000000000018
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.6078838174273858	0.971	0.3725	0.715	0.855	0.69	0.601	-0.0040000000000000036
checkpoint-48	checkpoint-48	48	3.096774193548387	0.3029045643153527	0.9334	0.3675	0.715	0.855	0.7	0.601	-0.0040000000000000036
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.2183609958506224	0.9324	0.3775	0.71	0.855	0.69	0.602	-0.0030000000000000027
checkpoint-64	checkpoint-64	64	4.129032258064516	0.19761410788381742	0.96	0.3775	0.71	0.85	0.695	0.602	-0.0030000000000000027
checkpoint-72	checkpoint-72	72	4.645161290322581	0.19139004149377592	0.969	0.3775	0.71	0.85	0.685	0.6	-0.0050000000000000044
checkpoint-75	checkpoint-75	75	4.838709677419355	0.19139004149377592	0.9645	0.37	0.705	0.855	0.7	0.6	-0.0050000000000000044
final	final	75	4.838709677419355	0.19139004149377592	0.9645	0.37	0.705	0.855	0.7	0.6	-0.0050000000000000044
