label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.375	0.715	0.86	0.715	0.608	0.0030000000000000027
checkpoint-16	16	1.032258064516129	0.39	0.715	0.85	0.71	0.611	0.006000000000000005
checkpoint-24	24	1.5483870967741935	0.3775	0.715	0.85	0.705	0.605	0.0
checkpoint-32	32	2.064516129032258	0.375	0.715	0.86	0.71	0.607	0.0020000000000000018
checkpoint-40	40	2.5806451612903225	0.3725	0.715	0.855	0.69	0.601	-0.0040000000000000036
checkpoint-48	48	3.096774193548387	0.3675	0.715	0.855	0.7	0.601	-0.0040000000000000036
checkpoint-56	56	3.6129032258064515	0.3775	0.71	0.855	0.69	0.602	-0.0030000000000000027
checkpoint-64	64	4.129032258064516	0.3775	0.71	0.85	0.695	0.602	-0.0030000000000000027
checkpoint-72	72	4.645161290322581	0.3775	0.71	0.85	0.685	0.6	-0.0050000000000000044
checkpoint-75	75	4.838709677419355	0.37	0.705	0.855	0.7	0.6	-0.0050000000000000044
final	75	4.838709677419355	0.37	0.705	0.855	0.7	0.6	-0.0050000000000000044
