label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.8910788381742739	0.926	0.375	0.725	0.855	0.69	0.604	-0.0010000000000000009
checkpoint-16	checkpoint-16	16	1.032258064516129	0.8796680497925311	0.9606666666666667	0.37	0.72	0.85	0.705	0.603	-0.0020000000000000018
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8449170124481328	0.9685	0.37	0.71	0.855	0.71	0.603	-0.0020000000000000018
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8257261410788381	0.984	0.3775	0.715	0.86	0.71	0.608	0.0030000000000000027
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.8335062240663901	0.994	0.37	0.7	0.855	0.71	0.601	-0.0040000000000000036
checkpoint-48	checkpoint-48	48	3.096774193548387	0.8490663900414938	0.996	0.38	0.715	0.86	0.705	0.608	0.0030000000000000027
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.8438796680497925	0.993	0.375	0.69	0.85	0.7	0.598	-0.007000000000000006
checkpoint-64	checkpoint-64	64	4.129032258064516	0.6047717842323651	0.992	0.3725	0.705	0.84	0.72	0.602	-0.0030000000000000027
checkpoint-72	checkpoint-72	72	4.645161290322581	0.8480290456431535	0.991	0.3575	0.695	0.84	0.72	0.594	-0.01100000000000001
checkpoint-75	checkpoint-75	75	4.838709677419355	0.8433609958506224	0.996	0.365	0.695	0.845	0.705	0.595	-0.010000000000000009
final	final	75	4.838709677419355	0.8433609958506224	0.996	0.365	0.695	0.845	0.705	0.595	-0.010000000000000009
