label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9206431535269709	0.9536666666666667
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9258298755186722	0.963
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9030082987551867	0.9496666666666668
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8936721991701245	0.9668333333333332
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.8931535269709544	0.9708333333333332
checkpoint-48	checkpoint-48	48	3.096774193548387	0.9045643153526971	0.9848333333333332
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9050829875518672	0.9853333333333333
checkpoint-64	checkpoint-64	64	4.129032258064516	0.8848547717842323	0.9713333333333333
checkpoint-72	checkpoint-72	72	4.645161290322581	0.8900414937759336	0.9895
checkpoint-75	checkpoint-75	75	4.838709677419355	0.8827800829875518	0.9915
final	final	75	4.838709677419355	0.8827800829875518	0.9915
