label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.375	0.715	0.86	0.72	0.609	0.0040000000000000036
checkpoint-16	16	1.032258064516129	0.3725	0.71	0.855	0.705	0.603	-0.0020000000000000018
checkpoint-24	24	1.5483870967741935	0.3775	0.71	0.855	0.695	0.603	-0.0020000000000000018
checkpoint-32	32	2.064516129032258	0.38	0.705	0.865	0.695	0.605	0.0
checkpoint-40	40	2.5806451612903225	0.375	0.705	0.855	0.68	0.598	-0.007000000000000006
checkpoint-48	48	3.096774193548387	0.3825	0.705	0.855	0.695	0.604	-0.0010000000000000009
checkpoint-56	56	3.6129032258064515	0.3725	0.71	0.855	0.685	0.599	-0.006000000000000005
checkpoint-64	64	4.129032258064516	0.3675	0.705	0.86	0.68	0.596	-0.009000000000000008
checkpoint-72	72	4.645161290322581	0.3725	0.695	0.86	0.695	0.599	-0.006000000000000005
checkpoint-75	75	4.838709677419355	0.37	0.705	0.855	0.69	0.598	-0.007000000000000006
final	75	4.838709677419355	0.37	0.705	0.855	0.69	0.598	-0.007000000000000006
