label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.6829529737206085	0.9571666666666666
checkpoint-16	checkpoint-16	16	1.032258064516129	0.5682572614107884	0.9518333333333334
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.686237897648686	0.975
checkpoint-32	checkpoint-32	32	2.064516129032258	0.6422199170124482	0.988
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.6027143845089903	0.9886666666666667
checkpoint-48	checkpoint-48	48	3.096774193548387	0.5267461964038728	0.9953333333333333
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.48641078838174273	0.9933333333333333
checkpoint-64	checkpoint-64	64	4.129032258064516	0.49311894882434304	0.9903333333333333
checkpoint-72	checkpoint-72	72	4.645161290322581	0.45200553250345776	0.9953333333333333
checkpoint-75	checkpoint-75	75	4.838709677419355	0.44949861687413556	0.9963333333333333
final	final	75	4.838709677419355	0.44949861687413556	0.9963333333333333
