label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.6236514522821577	0.9548333333333333
checkpoint-16	checkpoint-16	16	1.032258064516129	0.503042876901798	0.9471666666666667
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.548893499308437	0.9736666666666668
checkpoint-32	checkpoint-32	32	2.064516129032258	0.4582987551867219	0.9773333333333333
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.4569156293222683	0.9823333333333333
checkpoint-48	checkpoint-48	48	3.096774193548387	0.41922544951590596	0.9906666666666667
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.358298755186722	0.9716666666666668
checkpoint-64	checkpoint-64	64	4.129032258064516	0.41715076071922547	0.9866666666666667
checkpoint-72	checkpoint-72	72	4.645161290322581	0.41604426002766254	0.9913333333333333
checkpoint-75	checkpoint-75	75	4.838709677419355	0.39339557399723374	0.9913333333333333
final	final	75	4.838709677419355	0.39339557399723374	0.9913333333333333
