label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.7649377593360995	0.9251666666666667	0.38	0.72	0.86	0.71	0.61	0.0050000000000000044
checkpoint-16	checkpoint-16	16	1.032258064516129	0.573789764868603	0.9555	0.3675	0.705	0.86	0.695	0.599	-0.006000000000000005
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.5374827109266942	0.9641666666666667	0.3675	0.69	0.865	0.675	0.593	-0.01200000000000001
checkpoint-32	checkpoint-32	32	2.064516129032258	0.5649723374827109	0.9721666666666667	0.37	0.69	0.865	0.685	0.596	-0.009000000000000008
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.5093015214384509	0.977	0.3675	0.7	0.865	0.69	0.598	-0.007000000000000006
checkpoint-48	checkpoint-48	48	3.096774193548387	0.48789764868603036	0.9856666666666666	0.3675	0.7	0.86	0.695	0.598	-0.007000000000000006
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.42776625172890737	0.986	0.3625	0.7	0.85	0.685	0.592	-0.013000000000000012
checkpoint-64	checkpoint-64	64	4.129032258064516	0.4659578146611342	0.9856666666666667	0.3575	0.695	0.845	0.69	0.589	-0.016000000000000014
checkpoint-72	checkpoint-72	72	4.645161290322581	0.4416147994467497	0.9853333333333333	0.365	0.695	0.85	0.695	0.594	-0.01100000000000001
checkpoint-75	checkpoint-75	75	4.838709677419355	0.4170643153526971	0.9883333333333333	0.3725	0.7	0.85	0.675	0.594	-0.01100000000000001
final	final	75	4.838709677419355	0.4170643153526971	0.9883333333333333	0.3725	0.7	0.85	0.675	0.594	-0.01100000000000001
