label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9565352697095436	0.9575	0.3775	0.71	0.855	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9433955739972338	0.9525	0.38	0.7	0.855	0.695	0.602	-0.0030000000000000027
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9368257261410788	0.9478333333333333	0.38	0.71	0.86	0.69	0.604	-0.0010000000000000009
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9279737206085753	0.9498333333333333	0.3775	0.71	0.855	0.71	0.606	0.0010000000000000009
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9179460580912863	0.939	0.385	0.71	0.855	0.7	0.607	0.0020000000000000018
checkpoint-48	checkpoint-48	48	3.096774193548387	0.8920124481327801	0.9343333333333333	0.3725	0.71	0.86	0.705	0.604	-0.0010000000000000009
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.879045643153527	0.9373333333333334	0.38	0.715	0.86	0.7	0.607	0.0020000000000000018
checkpoint-64	checkpoint-64	64	4.129032258064516	0.855255878284924	0.9443333333333334	0.3775	0.71	0.86	0.685	0.602	-0.0030000000000000027
checkpoint-72	checkpoint-72	72	4.645161290322581	0.817911479944675	0.9453333333333334	0.3725	0.715	0.86	0.685	0.601	-0.0040000000000000036
checkpoint-75	checkpoint-75	75	4.838709677419355	0.7633471645919778	0.9491666666666667	0.37	0.705	0.86	0.68	0.597	-0.008000000000000007
final	final	75	4.838709677419355	0.7633471645919778	0.9491666666666667	0.37	0.705	0.86	0.68	0.597	-0.008000000000000007
