label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.3525	0.73	0.855	0.685	0.595	-0.010000000000000009
checkpoint-16	16	1.032258064516129	0.35	0.75	0.845	0.68	0.595	-0.010000000000000009
checkpoint-24	24	1.5483870967741935	0.32	0.74	0.82	0.585	0.557	-0.04799999999999993
checkpoint-32	32	2.064516129032258	0.2725	0.73	0.74	0.61	0.525	-0.07999999999999996
checkpoint-40	40	2.5806451612903225	0.2575	0.72	0.73	0.59	0.511	-0.09399999999999997
checkpoint-48	48	3.096774193548387	0.2675	0.695	0.675	0.6	0.501	-0.10399999999999998
checkpoint-56	56	3.6129032258064515	0.2425	0.7	0.57	0.615	0.474	-0.131
checkpoint-64	64	4.129032258064516	0.235	0.68	0.52	0.615	0.457	-0.14799999999999996
checkpoint-72	72	4.645161290322581	0.2025	0.665	0.495	0.595	0.432	-0.173
checkpoint-75	75	4.838709677419355	0.195	0.65	0.455	0.59	0.417	-0.188
final	75	4.838709677419355	0.195	0.65	0.455	0.59	0.417	-0.188
