label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9576417704011065	0.9643333333333333	0.37	0.71	0.855	0.695	0.6	-0.0050000000000000044
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9583333333333334	0.9648333333333332	0.38	0.715	0.855	0.7	0.606	0.0010000000000000009
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9657676348547718	0.964	0.375	0.715	0.855	0.705	0.605	0.0
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9605809128630706	0.956	0.3775	0.71	0.855	0.695	0.603	-0.0020000000000000018
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9529737206085753	0.951	0.3775	0.705	0.85	0.705	0.603	-0.0020000000000000018
checkpoint-48	checkpoint-48	48	3.096774193548387	0.9508990318118948	0.954	0.375	0.71	0.85	0.705	0.603	-0.0020000000000000018
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9403526970954357	0.9526666666666667	0.3775	0.725	0.85	0.71	0.608	0.0030000000000000027
checkpoint-64	checkpoint-64	64	4.129032258064516	0.913226141078838	0.9373333333333332	0.365	0.71	0.855	0.695	0.598	-0.007000000000000006
checkpoint-72	checkpoint-72	72	4.645161290322581	0.840439142461964	0.9408333333333333	0.3725	0.71	0.85	0.69	0.599	-0.006000000000000005
checkpoint-75	checkpoint-75	75	4.838709677419355	0.7701071922544952	0.9413333333333332	0.375	0.71	0.855	0.7	0.603	-0.0020000000000000018
final	final	75	4.838709677419355	0.7701071922544952	0.9413333333333332	0.375	0.71	0.855	0.7	0.603	-0.0020000000000000018
