label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	8	0.5161290322580645	0.38	0.69	0.845	0.715	0.602	-0.0030000000000000027
checkpoint-16	16	1.032258064516129	0.365	0.665	0.82	0.655	0.574	-0.031000000000000028
checkpoint-24	24	1.5483870967741935	0.345	0.61	0.79	0.655	0.549	-0.05599999999999994
checkpoint-32	32	2.064516129032258	0.3225	0.6	0.79	0.61	0.529	-0.07599999999999996
checkpoint-40	40	2.5806451612903225	0.3125	0.59	0.795	0.6	0.522	-0.08299999999999996
checkpoint-48	48	3.096774193548387	0.31	0.62	0.785	0.615	0.528	-0.07699999999999996
checkpoint-56	56	3.6129032258064515	0.315	0.595	0.77	0.62	0.523	-0.08199999999999996
checkpoint-64	64	4.129032258064516	0.3325	0.59	0.775	0.615	0.529	-0.07599999999999996
checkpoint-72	72	4.645161290322581	0.3225	0.595	0.78	0.615	0.527	-0.07799999999999996
checkpoint-75	75	4.838709677419355	0.3275	0.585	0.78	0.615	0.527	-0.07799999999999996
final	75	4.838709677419355	0.3275	0.585	0.78	0.615	0.527	-0.07799999999999996
