label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.919017980636238	0.9645	0.3825	0.71	0.86	0.695	0.606	0.0010000000000000009
checkpoint-16	checkpoint-16	16	1.032258064516129	0.6607883817427386	0.9056666666666667	0.385	0.715	0.86	0.69	0.607	0.0020000000000000018
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.7898686030428769	0.9528333333333334	0.38	0.71	0.86	0.705	0.607	0.0020000000000000018
checkpoint-32	checkpoint-32	32	2.064516129032258	0.8224412171507607	0.9731666666666666	0.3825	0.705	0.855	0.705	0.606	0.0010000000000000009
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.7842323651452282	0.9675	0.37	0.7	0.855	0.695	0.598	-0.007000000000000006
checkpoint-48	checkpoint-48	48	3.096774193548387	0.7659405255878285	0.9845	0.37	0.71	0.85	0.695	0.599	-0.006000000000000005
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.7451936376210234	0.998	0.37	0.71	0.85	0.685	0.597	-0.008000000000000007
checkpoint-64	checkpoint-64	64	4.129032258064516	0.766286307053942	0.9916666666666667	0.3625	0.715	0.855	0.71	0.601	-0.0040000000000000036
checkpoint-72	checkpoint-72	72	4.645161290322581	0.7645228215767634	0.9866666666666667	0.3675	0.715	0.865	0.71	0.605	0.0
checkpoint-75	checkpoint-75	75	4.838709677419355	0.7949861687413555	0.9933333333333334	0.36	0.705	0.86	0.72	0.601	-0.0040000000000000036
final	final	75	4.838709677419355	0.7949861687413555	0.9933333333333334	0.36	0.705	0.86	0.72	0.601	-0.0040000000000000036
