label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.926521438450899	0.9696666666666668
checkpoint-16	checkpoint-16	16	1.032258064516129	0.1338865836791148	0.8333333333333334
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.20681189488243432	0.903
checkpoint-32	checkpoint-32	32	2.064516129032258	0.3835753803596127	0.9591666666666666
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.27119640387275235	0.9465
checkpoint-48	checkpoint-48	48	3.096774193548387	0.16784232365145227	0.9666666666666668
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.19298063623789763	0.975
checkpoint-64	checkpoint-64	64	4.129032258064516	0.13426694329183955	0.9673333333333334
checkpoint-72	checkpoint-72	72	4.645161290322581	0.1322959889349931	0.981
checkpoint-75	checkpoint-75	75	4.838709677419355	0.15082987551867216	0.9833333333333334
final	final	75	4.838709677419355	0.15082987551867216	0.9833333333333334
