label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9623098201936375	0.964	0.38	0.71	0.855	0.705	0.606	0.0010000000000000009
checkpoint-16	checkpoint-16	16	1.032258064516129	0.8911825726141079	0.9675	0.38	0.72	0.855	0.695	0.606	0.0010000000000000009
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.7559820193637621	0.9448333333333333	0.38	0.71	0.855	0.7	0.605	0.0
checkpoint-32	checkpoint-32	32	2.064516129032258	0.6235477178423235	0.9201666666666666	0.38	0.715	0.86	0.71	0.609	0.0040000000000000036
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.5265560165975104	0.9465	0.3775	0.705	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-48	checkpoint-48	48	3.096774193548387	0.6312586445366529	0.952	0.38	0.715	0.86	0.7	0.607	0.0020000000000000018
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.6740663900414937	0.978	0.3775	0.72	0.86	0.705	0.608	0.0030000000000000027
checkpoint-64	checkpoint-64	64	4.129032258064516	0.7137966804979252	0.983	0.3825	0.715	0.85	0.69	0.604	-0.0010000000000000009
checkpoint-72	checkpoint-72	72	4.645161290322581	0.6498271092669433	0.9731666666666667	0.38	0.715	0.85	0.69	0.603	-0.0020000000000000018
checkpoint-75	checkpoint-75	75	4.838709677419355	0.656569847856155	0.9725	0.3825	0.715	0.85	0.69	0.604	-0.0010000000000000009
final	final	75	4.838709677419355	0.656569847856155	0.9725	0.3825	0.715	0.85	0.69	0.604	-0.0010000000000000009
