label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.6340677904936328	0.736787428387826
checkpoint-90	checkpoint-90	90	1.0	0.5806086092904432	0.7172295232931416
checkpoint-135	checkpoint-135	135	1.5	0.599682692553481	0.7482924243858636
checkpoint-180	checkpoint-180	180	2.0	0.5432221159643875	0.7444064329750213
checkpoint-225	checkpoint-225	225	2.5	0.5203967301657472	0.7527209040131504
checkpoint-270	checkpoint-270	270	3.0	0.49213584262212257	0.7556649281798387
checkpoint-315	checkpoint-315	315	3.5	0.48235276648788283	0.7803791966813837
checkpoint-360	checkpoint-360	360	4.0	0.4317800643260873	0.7804898602612321
checkpoint-405	checkpoint-405	405	4.5	0.4243386577530377	0.8157429879596877
checkpoint-450	checkpoint-450	450	5.0	0.38374627283102447	0.8071475906465966
final	final	450	5.0	0.38374627283102447	0.8071475906465966
