label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.45307308183306794	0.8038806124293202
checkpoint-90	checkpoint-90	90	1.0	0.3341360185490092	0.8328325142937467
checkpoint-135	checkpoint-135	135	1.5	0.28768342633399946	0.8798023547029511
checkpoint-180	checkpoint-180	180	2.0	0.21657949263888823	0.8999343047056766
checkpoint-225	checkpoint-225	225	2.5	0.18847721496210554	0.9181960186930366
checkpoint-270	checkpoint-270	270	3.0	0.16886120421202047	0.9300766827605794
checkpoint-315	checkpoint-315	315	3.5	0.14811808352968478	0.9275122712498457
checkpoint-360	checkpoint-360	360	4.0	0.1375798625364447	0.9374892778968326
checkpoint-405	checkpoint-405	405	4.5	0.13633199709094118	0.9416269339231566
checkpoint-450	checkpoint-450	450	5.0	0.13427316383203844	0.9574871836800265
final	final	450	5.0	0.13427316383203844	0.9574871836800265
