label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.7248002778742618	0.7997776687637521
checkpoint-90	checkpoint-90	90	1.0	0.7074237387019603	0.8127769458286358
checkpoint-135	checkpoint-135	135	1.5	0.6931849758438852	0.8497801072353758
checkpoint-180	checkpoint-180	180	2.0	0.6811112790185385	0.8691114496283481
checkpoint-225	checkpoint-225	225	2.5	0.6821796589424238	0.886216323989684
checkpoint-270	checkpoint-270	270	3.0	0.6388292817521717	0.8880812527432805
checkpoint-315	checkpoint-315	315	3.5	0.6492216738916982	0.9082812647921992
checkpoint-360	checkpoint-360	360	4.0	0.5953650407714319	0.9061230022462629
checkpoint-405	checkpoint-405	405	4.5	0.5677798177277162	0.911752142269041
checkpoint-450	checkpoint-450	450	5.0	0.5749917299326816	0.9162559276376373
final	final	450	5.0	0.5749917299326816	0.9162559276376373
