label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.5224384218305719	0.7674701430665645	0.3925	0.685	0.86	0.635	0.593	-0.010000000000000009
checkpoint-90	checkpoint-90	90	1.0	0.4640695272077697	0.8285351383760927	0.395	0.665	0.855	0.665	0.595	-0.008000000000000007
checkpoint-135	checkpoint-135	135	1.5	0.3683929680369417	0.8585966165489028	0.3975	0.68	0.86	0.65	0.597	-0.006000000000000005
checkpoint-180	checkpoint-180	180	2.0	0.30940272822002585	0.8765459192894579	0.39	0.7	0.855	0.635	0.594	-0.009000000000000008
checkpoint-225	checkpoint-225	225	2.5	0.24322864430540708	0.8934976002570437	0.3775	0.685	0.865	0.625	0.586	-0.017000000000000015
checkpoint-270	checkpoint-270	270	3.0	0.2434231412522486	0.908561689028886	0.365	0.665	0.865	0.625	0.577	-0.026000000000000023
checkpoint-315	checkpoint-315	315	3.5	0.18448402548784626	0.9036964361020028	0.365	0.68	0.865	0.63	0.581	-0.02200000000000002
checkpoint-360	checkpoint-360	360	4.0	0.15315634637447764	0.9112273688317426	0.3625	0.65	0.85	0.655	0.576	-0.027000000000000024
checkpoint-405	checkpoint-405	405	4.5	0.1488522023690485	0.9158728724335086	0.365	0.625	0.85	0.655	0.572	-0.031000000000000028
checkpoint-450	checkpoint-450	450	5.0	0.15107394342371766	0.9383190037265583	0.3625	0.63	0.84	0.625	0.564	-0.039000000000000035
final	final	450	5.0	0.15107394342371766	0.9383190037265583	0.3625	0.63	0.84	0.625	0.564	-0.039000000000000035
