label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.631493280946216	0.8451906884809469
checkpoint-90	checkpoint-90	90	1.0	0.5484637974044018	0.8811569256897288
checkpoint-135	checkpoint-135	135	1.5	0.4886686920813354	0.9113556754709835
checkpoint-180	checkpoint-180	180	2.0	0.43674977332497306	0.9314904942638541
checkpoint-225	checkpoint-225	225	2.5	0.3571259786872847	0.9356768480028919
checkpoint-270	checkpoint-270	270	3.0	0.35870984694360863	0.9471710860378852
checkpoint-315	checkpoint-315	315	3.5	0.3352130569827687	0.951942457807269
checkpoint-360	checkpoint-360	360	4.0	0.27144477324227234	0.9601146368541995
checkpoint-405	checkpoint-405	405	4.5	0.24926969040376473	0.9663991519856331
checkpoint-450	checkpoint-450	450	5.0	0.22736462526320114	0.971928601550868
final	final	450	5.0	0.22736462526320114	0.971928601550868
