label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.631493280946216	0.8451906884809469	0.38	0.69	0.86	0.64	0.59	-0.013000000000000012
checkpoint-90	checkpoint-90	90	1.0	0.5484637974044018	0.8811569256897288	0.3925	0.69	0.865	0.655	0.599	-0.0040000000000000036
checkpoint-135	checkpoint-135	135	1.5	0.4886686920813354	0.9113556754709835	0.39	0.67	0.865	0.675	0.598	-0.0050000000000000044
checkpoint-180	checkpoint-180	180	2.0	0.43674977332497306	0.9314904942638541	0.3925	0.695	0.855	0.655	0.598	-0.0050000000000000044
checkpoint-225	checkpoint-225	225	2.5	0.3571259786872847	0.9356768480028919	0.395	0.665	0.855	0.66	0.594	-0.009000000000000008
checkpoint-270	checkpoint-270	270	3.0	0.35870984694360863	0.9471710860378852	0.395	0.685	0.85	0.645	0.594	-0.009000000000000008
checkpoint-315	checkpoint-315	315	3.5	0.3352130569827687	0.951942457807269	0.3825	0.64	0.86	0.64	0.581	-0.02200000000000002
checkpoint-360	checkpoint-360	360	4.0	0.27144477324227234	0.9601146368541995	0.3925	0.635	0.855	0.655	0.586	-0.017000000000000015
checkpoint-405	checkpoint-405	405	4.5	0.24926969040376473	0.9663991519856331	0.39	0.63	0.855	0.63	0.579	-0.02400000000000002
checkpoint-450	checkpoint-450	450	5.0	0.22736462526320114	0.971928601550868	0.3775	0.62	0.84	0.62	0.567	-0.03600000000000003
final	final	450	5.0	0.22736462526320114	0.971928601550868	0.3775	0.62	0.84	0.62	0.567	-0.03600000000000003
