label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.2125	0.58	0.385	0.48	0.374	-0.22899999999999998
checkpoint-90	90	1.0	0.205	0.53	0.28	0.53	0.35	-0.253
checkpoint-135	135	1.5	0.1925	0.485	0.27	0.525	0.333	-0.26999999999999996
checkpoint-180	180	2.0	0.1925	0.5	0.28	0.535	0.34	-0.26299999999999996
checkpoint-225	225	2.5	0.19	0.485	0.28	0.57	0.343	-0.25999999999999995
checkpoint-270	270	3.0	0.1875	0.495	0.25	0.565	0.337	-0.26599999999999996
checkpoint-315	315	3.5	0.175	0.52	0.245	0.53	0.329	-0.27399999999999997
checkpoint-360	360	4.0	0.1625	0.49	0.23	0.565	0.322	-0.28099999999999997
checkpoint-405	405	4.5	0.1525	0.5	0.23	0.555	0.318	-0.285
checkpoint-450	450	5.0	0.1575	0.48	0.225	0.54	0.312	-0.291
final	450	5.0	0.1575	0.48	0.225	0.54	0.312	-0.291
