label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.8890422234552141	0.9242813680686442
checkpoint-90	checkpoint-90	90	1.0	0.8599048591407049	0.8867770290235498
checkpoint-135	checkpoint-135	135	1.5	0.2959520275949592	0.30608161994841915
checkpoint-180	checkpoint-180	180	2.0	0.00870879438958633	0.0073961713126723064
checkpoint-225	checkpoint-225	225	2.5	0.0	0.0
checkpoint-270	checkpoint-270	270	3.0	0.0	0.0
checkpoint-315	checkpoint-315	315	3.5	0.0	0.0
checkpoint-360	checkpoint-360	360	4.0	0.0	0.0
checkpoint-405	checkpoint-405	405	4.5	0.0	0.0
checkpoint-450	checkpoint-450	450	5.0	0.0	0.0
final	final	450	5.0	0.0	0.0
