label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.3120425337080426	0.7899740087612851
checkpoint-90	checkpoint-90	90	1.0	0.13462361419985594	0.8321559101380175
checkpoint-135	checkpoint-135	135	1.5	0.055888701434029665	0.8279076622515986
checkpoint-180	checkpoint-180	180	2.0	0.028219950710398782	0.8763360672903417
checkpoint-225	checkpoint-225	225	2.5	0.030796903686796006	0.9182652999750415
checkpoint-270	checkpoint-270	270	3.0	0.021186258456143834	0.9319861494811793
checkpoint-315	checkpoint-315	315	3.5	0.027071651863246164	0.9496928960149635
checkpoint-360	checkpoint-360	360	4.0	0.01744818802825055	0.9523053597606282
checkpoint-405	checkpoint-405	405	4.5	0.016994161332473244	0.9638646476121625
checkpoint-450	checkpoint-450	450	5.0	0.017720273243024196	0.9714147295161211
final	final	450	5.0	0.017720273243024196	0.9714147295161211
