label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.4	0.72	0.85	0.65	0.604	0.0010000000000000009
checkpoint-90	90	1.0	0.385	0.715	0.855	0.63	0.594	-0.009000000000000008
checkpoint-135	135	1.5	0.3675	0.735	0.845	0.64	0.591	-0.01200000000000001
checkpoint-180	180	2.0	0.3525	0.725	0.85	0.645	0.585	-0.018000000000000016
checkpoint-225	225	2.5	0.36	0.715	0.845	0.665	0.589	-0.014000000000000012
checkpoint-270	270	3.0	0.3475	0.69	0.84	0.67	0.579	-0.02400000000000002
checkpoint-315	315	3.5	0.355	0.695	0.84	0.665	0.582	-0.02100000000000002
checkpoint-360	360	4.0	0.3475	0.705	0.835	0.665	0.58	-0.02300000000000002
checkpoint-405	405	4.5	0.3425	0.7	0.84	0.67	0.579	-0.02400000000000002
checkpoint-450	450	5.0	0.3375	0.69	0.84	0.65	0.571	-0.03200000000000003
final	450	5.0	0.3375	0.69	0.84	0.65	0.571	-0.03200000000000003
