label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.7565635013359916	0.8322805590698235
checkpoint-90	checkpoint-90	90	1.0	0.7524619614494571	0.838463805909134
checkpoint-135	checkpoint-135	135	1.5	0.7495051367142371	0.839050975532089
checkpoint-180	checkpoint-180	180	2.0	0.7504805911544362	0.8464309381804412
checkpoint-225	checkpoint-225	225	2.5	0.7608260318663236	0.8544839189968415
checkpoint-270	checkpoint-270	270	3.0	0.7479078358637233	0.8627955212448255
checkpoint-315	checkpoint-315	315	3.5	0.739738187211268	0.8623527234859242
checkpoint-360	checkpoint-360	360	4.0	0.7421353288755165	0.868378473746267
checkpoint-405	checkpoint-405	405	4.5	0.7437575025800103	0.8767374110316457
checkpoint-450	checkpoint-450	450	5.0	0.751930534441823	0.87994306885957
final	final	450	5.0	0.751930534441823	0.87994306885957
