label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.7572313092719484	0.8247766646872015	0.3975	0.735	0.855	0.655	0.608	0.0050000000000000044
checkpoint-90	checkpoint-90	90	1.0	0.7594538898637544	0.8349014140266625	0.4025	0.73	0.855	0.65	0.608	0.0050000000000000044
checkpoint-135	checkpoint-135	135	1.5	0.751070109119779	0.8365742772800426	0.3975	0.73	0.85	0.65	0.605	0.0020000000000000018
checkpoint-180	checkpoint-180	180	2.0	0.7575747175521402	0.8408578830050002	0.4	0.725	0.86	0.645	0.606	0.0030000000000000027
checkpoint-225	checkpoint-225	225	2.5	0.7618084406813131	0.8381051354212387	0.4	0.725	0.86	0.645	0.606	0.0030000000000000027
checkpoint-270	checkpoint-270	270	3.0	0.7515794700841592	0.840200141144475	0.4	0.725	0.86	0.645	0.606	0.0030000000000000027
checkpoint-315	checkpoint-315	315	3.5	0.7508153158639439	0.8382497224445533	0.3975	0.72	0.86	0.655	0.606	0.0030000000000000027
checkpoint-360	checkpoint-360	360	4.0	0.7507998784049495	0.8373531538044462	0.3875	0.715	0.87	0.655	0.603	0.0
checkpoint-405	checkpoint-405	405	4.5	0.7497038188163578	0.8415821090771389	0.3925	0.715	0.855	0.65	0.601	-0.0020000000000000018
checkpoint-450	checkpoint-450	450	5.0	0.7450949102998424	0.8393732841048944	0.3825	0.71	0.86	0.65	0.597	-0.006000000000000005
final	final	450	5.0	0.7450949102998424	0.8393732841048944	0.3825	0.71	0.86	0.65	0.597	-0.006000000000000005
