label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-45	checkpoint-45	45	0.5	0.7992175764492542	0.862751628755605
checkpoint-90	checkpoint-90	90	1.0	0.8546558975353695	0.9041512827795134
checkpoint-135	checkpoint-135	135	1.5	0.8620410676506544	0.8878101520745656
checkpoint-180	checkpoint-180	180	2.0	0.8751461170530292	0.8871345519953869
checkpoint-225	checkpoint-225	225	2.5	0.8743283076384849	0.8782893547804084
checkpoint-270	checkpoint-270	270	3.0	0.8689477015979274	0.8770260830399996
checkpoint-315	checkpoint-315	315	3.5	0.8623494659791986	0.8680466264462289
checkpoint-360	checkpoint-360	360	4.0	0.8527678286361857	0.8674411682860987
checkpoint-405	checkpoint-405	405	4.5	0.8498906722161325	0.8690879972689118
checkpoint-450	checkpoint-450	450	5.0	0.8498952834051827	0.876095734395933
final	final	450	5.0	0.8498952834051827	0.876095734395933
