label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.8456610715902138	0.8691666738386421	0.38	0.72	0.86	0.665	0.601	-0.0020000000000000018
checkpoint-90	checkpoint-90	90	1.0	0.8255366521865306	0.8747980371737827	0.4	0.705	0.86	0.66	0.605	0.0020000000000000018
checkpoint-135	checkpoint-135	135	1.5	0.7619091726073318	0.8550129238996037	0.4025	0.685	0.86	0.65	0.6	-0.0030000000000000027
checkpoint-180	checkpoint-180	180	2.0	0.6814638094335905	0.8697201351773916	0.3825	0.68	0.855	0.66	0.592	-0.01100000000000001
checkpoint-225	checkpoint-225	225	2.5	0.660272726771511	0.8804068087865303	0.4	0.67	0.855	0.645	0.594	-0.009000000000000008
checkpoint-270	checkpoint-270	270	3.0	0.6242039308381788	0.895976378381945	0.405	0.675	0.86	0.655	0.6	-0.0030000000000000027
checkpoint-315	checkpoint-315	315	3.5	0.5545134393606085	0.8962213013405856	0.3975	0.69	0.86	0.65	0.599	-0.0040000000000000036
checkpoint-360	checkpoint-360	360	4.0	0.4754708174385146	0.8977319345112585	0.395	0.695	0.845	0.66	0.598	-0.0050000000000000044
checkpoint-405	checkpoint-405	405	4.5	0.4757273774814587	0.9240109128777121	0.39	0.68	0.855	0.67	0.597	-0.006000000000000005
checkpoint-450	checkpoint-450	450	5.0	0.2833635817310704	0.9261526081605603	0.39	0.685	0.85	0.675	0.598	-0.0050000000000000044
final	final	450	5.0	0.2833635817310704	0.9261526081605603	0.39	0.685	0.85	0.675	0.598	-0.0050000000000000044
