slot	label	checkpoint	step	actual_epoch
0.0	base_model_orig	base_model_orig	0	0
0.5	checkpoint-8	checkpoint-8	8	0.516129032258
1.0	checkpoint-16	checkpoint-16	16	1.03225806452
1.5	checkpoint-24	checkpoint-24	24	1.54838709677
2.0	checkpoint-32	checkpoint-32	32	2.06451612903
2.5	checkpoint-40	checkpoint-40	40	2.58064516129
3.0	checkpoint-48	checkpoint-48	48	3.09677419355
3.5	checkpoint-56	checkpoint-56	56	3.61290322581
4.0	checkpoint-64	checkpoint-64	64	4.12903225806
4.5	checkpoint-72	checkpoint-72	72	4.64516129032
5.0	final	final	75	4.83870967742
